Asset sticker,Req/PO/Ticket No.,Serial No.,Date ordered,Type,Ordered By,Assigned email,Staff ID,Department,Date assigned,Date returned,e-wasted? Y/N,Cost
UOM000014,Rw-28642,TN83355Rp,31/03/2025,Printer,Carol Williams,emma.jones@unimelb.edu.au,8089,SHS,16/04/2025,21/04/2025,N,205.62
UOM000015,Zz-95914,Xs92192Fc,5/09/2020,Tablet,Emma Jones,grace.wilson@unimelb.edu.au,8826,Nursing,28/07/2023,13/10/2024,N,613.43
UOM000016,Tr-80206,BD34111Rj,17/04/2023,Desktop,Frank Miller,ivy.taylor@unimelb.edu.au,1354,Nursing,19/06/2023,4/10/2023,Y,1398.21
UOM000017,uO-65406,Sh40920cl,10/06/2021,Monitor,Carol Williams,ivy.taylor@unimelb.edu.au,1354,Nursing,23/10/2024,,N,409.95
UOM000018,jR-67798,nP32129Mi,24/08/2024,Monitor,Carol Williams,henry.moore@unimelb.edu.au,6300,SHS,20/09/2024,13/12/2024,N,268.5
UOM000019,dX-01719,up65029ti,24/05/2024,Monitor,Alice Johnson,ivy.taylor@unimelb.edu.au,1354,Physio,21/07/2024,7/04/2025,N,632.82
UOM000020,vI-36804,SG81894Gh,16/09/2021,Tablet,Emma Jones,henry.moore@unimelb.edu.au,6300,DOVS,11/12/2023,18/01/2025,N,537.69
UOM000021,yT-25027,SL87759uu,25/11/2023,Laptop,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Nursing,28/12/2023,9/08/2024,N,2256.75
UOM000022,Af-72220,qY62960XZ,19/07/2021,Tablet,Jack Anderson,emma.jones@unimelb.edu.au,8089,SHS,25/01/2022,,N,391.67
UOM000023,QQ-34080,vl73413aG,21/02/2025,Desktop,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Physio,2/04/2025,16/04/2025,N,2492.55
UOM000024,EJ-27882,rt78024aX,30/12/2022,Desktop,Alice Johnson,grace.wilson@unimelb.edu.au,8826,SHS,30/09/2023,28/07/2024,N,1645.17
UOM000025,ex-04912,Hr72130FG,8/11/2020,Monitor,Frank Miller,jack.anderson@unimelb.edu.au,9503,Nursing,29/08/2024,,N,595.67
UOM000026,xm-63149,Pv18364pI,4/01/2025,Server,Bob Smith,grace.wilson@unimelb.edu.au,8826,Social Work,7/04/2025,24/04/2025,N,6456.41
UOM000027,Cg-76336,Eo86878nQ,31/10/2020,Phone,Bob Smith,jack.anderson@unimelb.edu.au,9503,Social Work,3/08/2022,13/07/2024,N,521.89
UOM000028,Lb-33989,lN92066Tg,5/08/2023,Printer,Frank Miller,alice.johnson@unimelb.edu.au,2417,Physio,5/01/2025,15/03/2025,N,145.53
UOM000029,Er-21897,ZG16990Tl,25/08/2024,Printer,Henry Moore,alice.johnson@unimelb.edu.au,2417,Social Work,21/11/2024,21/04/2025,N,347.98
UOM000030,OX-60720,sG84894xK,18/09/2022,Phone,Alice Johnson,bob.smith@unimelb.edu.au,5312,Social Work,25/02/2023,,N,449.29
UOM000031,hi-61877,jj07261XW,22/10/2024,Desktop,David Brown,jack.anderson@unimelb.edu.au,9503,DOVS,7/01/2025,12/04/2025,N,1950.23
UOM000032,Yu-17900,qD07365EW,3/04/2022,Monitor,Bob Smith,henry.moore@unimelb.edu.au,6300,Nursing,12/01/2024,9/04/2024,Y,270.99
UOM000033,qV-45034,EZ34750zf,15/08/2023,Printer,David Brown,jack.anderson@unimelb.edu.au,9503,DOVS,18/08/2024,,N,696.75
UOM000034,XB-45977,Vs79505Zp,5/09/2021,Server,Grace Wilson,ivy.taylor@unimelb.edu.au,1354,DOVS,19/04/2022,16/07/2024,N,6754.86
UOM000035,eA-41997,Bv98654xs,27/03/2025,Tablet,Ivy Taylor,grace.wilson@unimelb.edu.au,8826,Social Work,16/05/2025,16/05/2025,N,838.22
UOM000036,ph-00762,Sa93831jO,21/04/2022,Server,Emma Jones,bob.smith@unimelb.edu.au,5312,Physio,24/08/2023,4/09/2023,Y,8581.77
UOM000037,VF-82317,UW56594Gg,6/02/2024,Server,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Nursing,6/11/2024,28/01/2025,N,5961.93
UOM000038,tm-05748,wH86879cw,22/12/2024,Phone,Carol Williams,jack.anderson@unimelb.edu.au,9503,DOVS,15/01/2025,21/02/2025,N,706.85
UOM000039,zg-16675,pG47775jA,29/12/2021,Laptop,Carol Williams,bob.smith@unimelb.edu.au,5312,Physio,10/08/2022,,N,2655.63
UOM000040,wA-96292,Be77011IZ,7/12/2021,Server,Emma Jones,emma.jones@unimelb.edu.au,8089,Physio,3/04/2022,23/01/2023,Y,7804.81
UOM000041,Ot-47659,vo29375QE,13/06/2024,Phone,Carol Williams,david.brown@unimelb.edu.au,5741,Physio,13/08/2024,,N,489.06
UOM000042,NH-34876,lF59994nm,3/03/2023,Desktop,David Brown,henry.moore@unimelb.edu.au,6300,Physio,11/04/2025,16/04/2025,N,2186.52
UOM000043,Gf-09619,tl60327yN,9/06/2021,Phone,Bob Smith,grace.wilson@unimelb.edu.au,8826,Social Work,6/09/2023,27/01/2025,N,393.53
UOM000044,LE-46093,Vt71585iy,30/10/2020,Phone,Carol Williams,jack.anderson@unimelb.edu.au,9503,DOVS,4/11/2024,,N,548.58
UOM000045,EI-31985,gT73067mj,15/11/2022,Server,David Brown,ivy.taylor@unimelb.edu.au,1354,DOVS,24/04/2024,,N,5275.33
UOM000046,gP-74154,eA17172Dm,3/10/2021,Printer,Frank Miller,emma.jones@unimelb.edu.au,8089,SHS,7/07/2022,28/02/2025,N,471.13
UOM000047,Fh-06663,Fs53574vN,18/05/2022,Tablet,Bob Smith,bob.smith@unimelb.edu.au,5312,Social Work,25/12/2022,,N,1022.44
UOM000048,Nt-79456,Cu16123SO,9/10/2021,Desktop,Emma Jones,jack.anderson@unimelb.edu.au,9503,Nursing,24/06/2023,,N,1471.42
UOM000049,Mc-05953,mx42494BX,3/04/2025,Tablet,Bob Smith,bob.smith@unimelb.edu.au,5312,Nursing,14/05/2025,15/05/2025,N,1106.22
UOM000050,av-29397,zc27544yJ,1/04/2021,Printer,Henry Moore,jack.anderson@unimelb.edu.au,9503,Social Work,20/04/2023,1/03/2025,N,888.38
UOM000051,JU-52396,rz88488CW,13/10/2022,Printer,Grace Wilson,emma.jones@unimelb.edu.au,8089,Physio,14/07/2023,4/09/2024,N,658.74
UOM000052,RZ-34697,DH24677wc,10/07/2021,Laptop,Grace Wilson,emma.jones@unimelb.edu.au,8089,Physio,25/07/2024,,N,1474.89
UOM000053,mk-74953,Rn42425nR,16/02/2024,Desktop,Alice Johnson,grace.wilson@unimelb.edu.au,8826,Nursing,18/04/2024,29/12/2024,N,1107.73
UOM000054,Vb-95629,lY14471FE,24/09/2021,Server,Jack Anderson,ivy.taylor@unimelb.edu.au,1354,DOVS,6/07/2023,10/07/2023,Y,5154.68
UOM000055,PB-89461,CJ18759qL,12/03/2021,Monitor,Alice Johnson,ivy.taylor@unimelb.edu.au,1354,Nursing,10/02/2022,14/05/2025,N,357.5
UOM000056,Gf-35354,mD84574QC,18/07/2023,Desktop,Emma Jones,alice.johnson@unimelb.edu.au,2417,DOVS,16/08/2023,30/08/2024,N,2186.12
UOM000057,ue-17576,Ak71637th,19/04/2025,Desktop,Carol Williams,david.brown@unimelb.edu.au,5741,Physio,9/05/2025,14/05/2025,N,2383.82
UOM000058,EP-58624,Mx04913iN,20/01/2024,Desktop,David Brown,bob.smith@unimelb.edu.au,5312,DOVS,28/07/2024,20/10/2024,N,1816.99
UOM000059,Ne-73872,EU86542fw,2/07/2023,Server,Grace Wilson,henry.moore@unimelb.edu.au,6300,Social Work,23/12/2024,,N,9800.83
UOM000060,wJ-03938,Ql90750wi,14/11/2021,Tablet,Carol Williams,carol.williams@unimelb.edu.au,6271,Social Work,10/12/2022,24/04/2024,Y,443.98
UOM000061,Is-64979,mR12123rM,8/04/2022,Laptop,Ivy Taylor,david.brown@unimelb.edu.au,5741,Physio,24/06/2022,28/09/2022,Y,2548.87
UOM000062,oX-09459,pb09534Vs,10/05/2021,Laptop,Ivy Taylor,david.brown@unimelb.edu.au,5741,Physio,15/10/2021,,N,2022.89
UOM000063,bK-48066,YL48545yb,11/04/2022,Server,Ivy Taylor,alice.johnson@unimelb.edu.au,2417,Physio,21/09/2024,8/10/2024,N,3280.32
UOM000064,TG-00362,oQ95764cW,7/06/2024,Desktop,Emma Jones,frank.miller@unimelb.edu.au,3991,Nursing,8/04/2025,,N,1252.64
UOM000065,NC-81451,Uv66046yy,12/10/2021,Monitor,Henry Moore,grace.wilson@unimelb.edu.au,8826,DOVS,5/07/2024,22/08/2024,N,533.35
UOM000066,aX-68330,pD06514DT,1/01/2021,Monitor,Alice Johnson,carol.williams@unimelb.edu.au,6271,Nursing,22/03/2023,6/04/2024,Y,271.69
UOM000067,mN-70297,ka41928He,6/03/2025,Laptop,Alice Johnson,henry.moore@unimelb.edu.au,6300,SHS,6/04/2025,24/04/2025,N,1381.28
UOM000068,BR-52404,aQ80698zr,27/09/2022,Printer,Ivy Taylor,frank.miller@unimelb.edu.au,3991,Physio,14/03/2025,,N,996.76
UOM000069,qN-30120,zl28823tx,3/08/2021,Laptop,Henry Moore,emma.jones@unimelb.edu.au,8089,SHS,10/03/2022,27/06/2022,Y,1006.92
UOM000070,CK-71502,Mu68108mM,8/02/2023,Tablet,Jack Anderson,jack.anderson@unimelb.edu.au,9503,SHS,13/07/2024,15/03/2025,N,649.9
UOM000071,Ut-90168,uz24122Du,16/11/2022,Printer,Grace Wilson,alice.johnson@unimelb.edu.au,2417,Physio,12/12/2022,,N,543.24
UOM000072,ga-29953,jD34173NQ,1/06/2021,Monitor,Carol Williams,henry.moore@unimelb.edu.au,6300,SHS,17/12/2022,12/04/2023,Y,588.31
UOM000073,lH-93206,tl77697xS,13/11/2024,Tablet,Bob Smith,ivy.taylor@unimelb.edu.au,1354,Physio,30/12/2024,27/02/2025,N,702.82
UOM000074,pm-08752,Ao37703fS,1/11/2024,Desktop,Alice Johnson,ivy.taylor@unimelb.edu.au,1354,Physio,17/03/2025,9/04/2025,N,1837.64
UOM000075,gb-15508,tc91255HV,5/03/2022,Printer,Jack Anderson,jack.anderson@unimelb.edu.au,9503,SHS,26/09/2023,17/11/2023,Y,1169.22
UOM000076,oz-81773,RS86177DF,16/08/2021,Phone,Bob Smith,henry.moore@unimelb.edu.au,6300,DOVS,17/07/2024,5/11/2024,N,550.96
UOM000077,Om-85266,dA73383lr,18/01/2023,Tablet,Bob Smith,henry.moore@unimelb.edu.au,6300,Nursing,12/07/2024,,N,353.65
UOM000078,fJ-51709,QQ50195vs,30/10/2021,Server,Jack Anderson,alice.johnson@unimelb.edu.au,2417,Social Work,4/05/2023,6/09/2023,Y,8693.92
UOM000079,Ee-93804,yl38355gu,9/12/2022,Printer,Henry Moore,ivy.taylor@unimelb.edu.au,1354,DOVS,3/09/2023,16/02/2024,Y,149.8
UOM000080,pY-70518,Zv38840Ai,30/04/2023,Server,Bob Smith,alice.johnson@unimelb.edu.au,2417,Nursing,19/09/2024,23/02/2025,N,9042.59
UOM000081,cT-78825,cL90604LN,17/01/2024,Monitor,Grace Wilson,grace.wilson@unimelb.edu.au,8826,DOVS,11/08/2024,23/09/2024,N,627.85
UOM000082,yp-35330,kQ87884eM,13/05/2023,Monitor,Frank Miller,grace.wilson@unimelb.edu.au,8826,Nursing,30/03/2024,,N,493.25
UOM000083,kE-09420,dz85017te,27/07/2020,Server,Carol Williams,bob.smith@unimelb.edu.au,5312,DOVS,5/03/2021,,N,2775.77
UOM000084,GG-53225,ps31700Vg,7/10/2024,Server,Ivy Taylor,emma.jones@unimelb.edu.au,8089,Nursing,9/10/2024,1/03/2025,N,9223.85
UOM000085,AU-70591,aj22178lR,1/04/2025,Desktop,Jack Anderson,frank.miller@unimelb.edu.au,3991,Nursing,15/04/2025,,N,2353.94
UOM000086,OJ-29287,Yc72171Kl,1/01/2023,Monitor,Alice Johnson,jack.anderson@unimelb.edu.au,9503,Social Work,15/11/2024,,N,625.56
UOM000087,zA-63203,pH64659Pe,15/02/2021,Laptop,Bob Smith,henry.moore@unimelb.edu.au,6300,SHS,10/12/2023,22/02/2025,N,2306.28
UOM000088,zl-73406,EG99388zX,19/07/2024,Tablet,Ivy Taylor,alice.johnson@unimelb.edu.au,2417,Nursing,28/04/2025,,N,1192.43
UOM000089,bT-52820,jE17703vy,28/02/2024,Printer,Frank Miller,grace.wilson@unimelb.edu.au,8826,Social Work,27/08/2024,28/12/2024,N,1435.68
UOM000090,YB-41633,xV32750Sf,5/06/2024,Desktop,Alice Johnson,frank.miller@unimelb.edu.au,3991,Physio,27/09/2024,13/01/2025,N,2200.07
UOM000091,QJ-07446,UC04390co,27/02/2023,Printer,Carol Williams,alice.johnson@unimelb.edu.au,2417,Physio,20/05/2023,,N,1428.38
UOM000092,kG-63136,Xi39535gp,10/06/2023,Desktop,Bob Smith,carol.williams@unimelb.edu.au,6271,Physio,23/07/2024,18/11/2024,N,1654.36
UOM000093,DO-06436,bO75335KS,17/12/2023,Server,Grace Wilson,ivy.taylor@unimelb.edu.au,1354,SHS,19/09/2024,9/04/2025,N,9248.55
UOM000094,En-12425,Fc56731qU,25/03/2021,Desktop,David Brown,bob.smith@unimelb.edu.au,5312,Nursing,25/09/2021,,N,1182.7
UOM000095,iz-11487,vz53907Jq,25/06/2023,Printer,Ivy Taylor,frank.miller@unimelb.edu.au,3991,Physio,5/05/2024,,N,1441.63
UOM000096,KI-73212,zX03620rQ,23/01/2023,Server,Carol Williams,ivy.taylor@unimelb.edu.au,1354,SHS,21/07/2024,10/04/2025,N,2781.68
UOM000097,at-20461,KG53453qS,25/01/2022,Monitor,Alice Johnson,henry.moore@unimelb.edu.au,6300,SHS,13/09/2023,12/12/2023,Y,681.66
UOM000098,wP-96178,HC54001de,6/07/2021,Printer,David Brown,ivy.taylor@unimelb.edu.au,1354,SHS,14/12/2024,9/05/2025,N,181.14
UOM000099,zR-38886,PO12243uW,23/04/2022,Desktop,Emma Jones,jack.anderson@unimelb.edu.au,9503,Physio,19/05/2023,21/03/2024,Y,931.44
UOM000100,FD-46418,dF64743yp,22/01/2024,Desktop,Ivy Taylor,henry.moore@unimelb.edu.au,6300,Social Work,6/07/2024,28/01/2025,N,1108.87
UOM000101,OO-26040,AI29371Fd,17/06/2021,Laptop,Jack Anderson,emma.jones@unimelb.edu.au,8089,SHS,1/12/2024,10/05/2025,N,2340.28
UOM000102,NN-57340,hS45076NU,26/11/2023,Printer,Henry Moore,grace.wilson@unimelb.edu.au,8826,SHS,21/12/2024,30/03/2025,N,1031.07
UOM000103,hp-52766,aC41715oU,24/08/2022,Phone,Jack Anderson,henry.moore@unimelb.edu.au,6300,Social Work,31/01/2024,,N,387.12
UOM000104,iO-87585,RT93378qP,8/02/2023,Printer,Bob Smith,bob.smith@unimelb.edu.au,5312,SHS,27/07/2023,7/01/2025,N,303.6
UOM000105,aK-43599,tj18234Dh,6/12/2021,Phone,Carol Williams,ivy.taylor@unimelb.edu.au,1354,Nursing,21/01/2023,2/10/2023,Y,998.25
UOM000106,nD-34151,lC27197YX,28/02/2024,Printer,Ivy Taylor,david.brown@unimelb.edu.au,5741,Physio,25/07/2024,,N,349.23
UOM000107,zp-38893,Jk00172bJ,18/08/2024,Monitor,Frank Miller,alice.johnson@unimelb.edu.au,2417,Physio,8/04/2025,9/05/2025,N,414.82
UOM000108,Tf-58558,of30135ar,22/05/2023,Server,Carol Williams,carol.williams@unimelb.edu.au,6271,Social Work,5/10/2024,,N,8646.32
UOM000109,vp-24850,jA02034CR,7/07/2023,Desktop,Ivy Taylor,alice.johnson@unimelb.edu.au,2417,DOVS,1/12/2023,27/02/2024,Y,836.33
UOM000110,dO-99543,aK13172qa,27/08/2020,Laptop,Grace Wilson,jack.anderson@unimelb.edu.au,9503,Social Work,27/07/2021,,N,1480.6
UOM000111,Ld-87097,yc41782ZT,27/05/2020,Desktop,Frank Miller,grace.wilson@unimelb.edu.au,8826,DOVS,26/09/2022,,N,1067.76
UOM000112,rs-88497,ii78574qF,6/06/2020,Tablet,Frank Miller,david.brown@unimelb.edu.au,5741,Physio,1/09/2023,,N,511.71
UOM000113,Bs-06305,Gi71394bm,29/05/2022,Phone,Frank Miller,david.brown@unimelb.edu.au,5741,Physio,31/08/2024,,N,976.67
UOM000114,Kk-38309,RV48722Oh,26/05/2021,Server,Carol Williams,frank.miller@unimelb.edu.au,3991,DOVS,29/03/2024,,N,3661.56
UOM000115,Tx-32184,St29725cC,20/10/2022,Monitor,Carol Williams,bob.smith@unimelb.edu.au,5312,Social Work,19/12/2023,5/01/2025,N,597.32
UOM000116,ff-08641,Ft50187YN,3/08/2021,Printer,Emma Jones,david.brown@unimelb.edu.au,5741,Nursing,2/07/2024,21/10/2024,N,1427.59
UOM000117,AA-36442,oV79783bN,3/05/2021,Printer,Emma Jones,jack.anderson@unimelb.edu.au,9503,SHS,8/09/2023,18/02/2025,N,505.55
UOM000118,St-57796,RZ53856Ur,21/01/2022,Laptop,Bob Smith,emma.jones@unimelb.edu.au,8089,Social Work,30/05/2024,22/10/2024,N,2057.9
UOM000119,MG-78808,WU13915qX,26/01/2022,Monitor,Henry Moore,henry.moore@unimelb.edu.au,6300,SHS,8/07/2023,7/04/2024,Y,415.93
UOM000120,cF-69433,CC98302OS,17/04/2022,Server,Jack Anderson,alice.johnson@unimelb.edu.au,2417,Physio,19/02/2025,19/04/2025,N,8022.58
UOM000121,Hl-91526,MW90525wd,28/03/2025,Laptop,Frank Miller,ivy.taylor@unimelb.edu.au,1354,SHS,11/04/2025,12/04/2025,N,1125.94
UOM000122,AB-91546,rR39114vD,17/09/2021,Monitor,Alice Johnson,frank.miller@unimelb.edu.au,3991,Social Work,10/02/2022,2/03/2023,Y,622.02
UOM000123,dG-81118,Fj46326rq,24/09/2021,Monitor,Ivy Taylor,carol.williams@unimelb.edu.au,6271,Social Work,27/03/2025,30/04/2025,N,193.12
UOM000124,ha-07009,Bl03871qw,10/02/2023,Laptop,Grace Wilson,carol.williams@unimelb.edu.au,6271,Social Work,26/01/2024,24/05/2024,N,2453.51
UOM000125,Qa-11144,vH26583Oz,12/07/2024,Server,Grace Wilson,alice.johnson@unimelb.edu.au,2417,SHS,20/12/2024,11/01/2025,N,6565.18
UOM000126,oi-15747,Eg42995WE,15/12/2022,Printer,David Brown,bob.smith@unimelb.edu.au,5312,Social Work,2/03/2025,16/04/2025,N,202.67
UOM000127,SK-55281,os11825aA,10/03/2022,Monitor,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Physio,5/12/2022,21/06/2024,N,272.98
UOM000128,kA-20227,As82190Jj,11/11/2020,Server,Grace Wilson,grace.wilson@unimelb.edu.au,8826,Nursing,2/04/2023,18/12/2023,Y,8904.33
UOM000129,GI-37636,su11582jG,30/06/2024,Server,Alice Johnson,ivy.taylor@unimelb.edu.au,1354,Nursing,14/02/2025,,N,6474.8
UOM000130,bA-81162,gC06951Wa,19/05/2022,Laptop,Grace Wilson,grace.wilson@unimelb.edu.au,8826,Social Work,15/09/2022,11/01/2024,Y,1577.13
UOM000131,oN-86351,Uf29565BJ,1/09/2024,Monitor,Henry Moore,henry.moore@unimelb.edu.au,6300,SHS,2/10/2024,18/01/2025,N,411.91
UOM000132,Oq-89899,nd24994Wv,27/07/2024,Desktop,Grace Wilson,grace.wilson@unimelb.edu.au,8826,Physio,26/10/2024,27/03/2025,N,1102
UOM000133,LW-85635,QO21228Zc,26/06/2022,Monitor,David Brown,bob.smith@unimelb.edu.au,5312,DOVS,28/10/2024,5/04/2025,N,385.62
UOM000134,Mm-95965,Xz87082BO,14/04/2021,Tablet,Jack Anderson,emma.jones@unimelb.edu.au,8089,Social Work,6/01/2022,,N,1007.46
UOM000135,GZ-40804,fy68716YS,6/09/2024,Laptop,Alice Johnson,emma.jones@unimelb.edu.au,8089,Nursing,18/04/2025,,N,1304.86
UOM000136,Tc-77710,be32129Lq,3/06/2024,Laptop,Jack Anderson,carol.williams@unimelb.edu.au,6271,Physio,26/03/2025,,N,2245.85
UOM000137,Aa-06742,uS89786Tv,16/04/2022,Tablet,Alice Johnson,henry.moore@unimelb.edu.au,6300,Social Work,10/08/2023,15/01/2025,N,938.07
UOM000138,GM-76960,KI73558EQ,16/09/2022,Printer,Grace Wilson,carol.williams@unimelb.edu.au,6271,Social Work,16/09/2022,14/05/2025,N,577.96
UOM000139,Hk-97362,tV67587rr,9/05/2023,Printer,Frank Miller,carol.williams@unimelb.edu.au,6271,SHS,18/03/2024,,N,489.43
UOM000140,Sm-07654,ki97468pE,18/12/2024,Laptop,Ivy Taylor,jack.anderson@unimelb.edu.au,9503,Nursing,28/01/2025,23/03/2025,N,1824.01
UOM000141,vq-19091,ly61785CR,3/10/2024,Phone,Henry Moore,carol.williams@unimelb.edu.au,6271,DOVS,7/04/2025,10/05/2025,N,863.08
UOM000142,vh-92807,Nt89050qr,29/06/2022,Tablet,Ivy Taylor,alice.johnson@unimelb.edu.au,2417,Social Work,12/10/2023,25/12/2023,Y,497.33
UOM000143,dq-87464,Km46555uY,6/03/2021,Laptop,Bob Smith,emma.jones@unimelb.edu.au,8089,DOVS,15/08/2023,10/06/2024,N,2078.09
UOM000144,Ho-97118,Fa42137YL,25/04/2023,Server,Grace Wilson,henry.moore@unimelb.edu.au,6300,Social Work,29/08/2024,6/11/2024,N,9630.99
UOM000145,dR-47254,Ic86559HI,18/07/2022,Server,Grace Wilson,grace.wilson@unimelb.edu.au,8826,Nursing,26/09/2024,17/12/2024,N,4742.57
UOM000146,to-91513,aq80053Ts,24/09/2020,Laptop,Ivy Taylor,carol.williams@unimelb.edu.au,6271,Social Work,24/04/2021,,N,1414.87
UOM000147,Ks-97273,kZ55060RO,3/03/2023,Desktop,Bob Smith,grace.wilson@unimelb.edu.au,8826,Nursing,18/02/2025,4/03/2025,N,1049.49
UOM000148,Ib-89858,Fo88179wZ,24/06/2020,Tablet,Grace Wilson,bob.smith@unimelb.edu.au,5312,Nursing,4/02/2023,,N,792.64
UOM000149,UK-37756,NJ28682aC,17/07/2024,Monitor,Frank Miller,carol.williams@unimelb.edu.au,6271,Social Work,7/01/2025,2/04/2025,N,395.28
UOM000150,pL-88110,Ov47050kO,31/05/2021,Monitor,Grace Wilson,bob.smith@unimelb.edu.au,5312,Nursing,18/12/2024,11/01/2025,N,233.39
UOM000151,GO-61337,pQ52666au,22/05/2020,Phone,Bob Smith,carol.williams@unimelb.edu.au,6271,Physio,7/05/2023,16/10/2024,N,821.08
UOM000152,WF-16544,xG85657AD,25/08/2020,Laptop,Bob Smith,jack.anderson@unimelb.edu.au,9503,Social Work,3/11/2022,27/09/2024,N,2233.78
UOM000153,KI-98283,LK36040bI,17/01/2022,Printer,Ivy Taylor,david.brown@unimelb.edu.au,5741,Nursing,23/03/2023,15/12/2024,N,1421.54
UOM000154,JN-08874,EO92581AF,9/06/2021,Desktop,Bob Smith,ivy.taylor@unimelb.edu.au,1354,SHS,3/03/2022,21/01/2025,N,1611.07
UOM000155,Sl-72462,jh32343to,13/10/2020,Desktop,Carol Williams,grace.wilson@unimelb.edu.au,8826,SHS,16/12/2023,19/07/2024,N,1996.07
UOM000156,hd-82712,pr07212zn,10/07/2020,Phone,Jack Anderson,carol.williams@unimelb.edu.au,6271,DOVS,23/01/2025,,N,569.83
UOM000157,zV-09252,IH97196GJ,8/05/2023,Phone,Grace Wilson,bob.smith@unimelb.edu.au,5312,Nursing,24/06/2023,,N,731.63
UOM000158,Ld-16814,ig81735Bn,27/12/2024,Printer,Grace Wilson,jack.anderson@unimelb.edu.au,9503,SHS,4/05/2025,13/05/2025,N,1438.11
UOM000159,ru-59576,hh83548qW,18/12/2020,Phone,David Brown,alice.johnson@unimelb.edu.au,2417,SHS,13/11/2022,25/02/2023,Y,517.83
UOM000160,oL-19205,ZV97576XM,10/08/2022,Desktop,Alice Johnson,bob.smith@unimelb.edu.au,5312,Nursing,6/11/2023,8/02/2025,N,1144.32
UOM000161,QK-49971,oV92561DK,27/08/2022,Server,Emma Jones,frank.miller@unimelb.edu.au,3991,Social Work,9/11/2024,13/05/2025,N,6662.21
UOM000162,nn-39934,fJ84408iX,12/11/2021,Phone,Frank Miller,frank.miller@unimelb.edu.au,3991,Physio,6/06/2024,27/01/2025,N,498.55
UOM000163,tc-52307,IF38904MS,3/07/2020,Printer,Bob Smith,alice.johnson@unimelb.edu.au,2417,SHS,15/11/2020,28/12/2021,Y,162.5
UOM000164,JQ-31802,od09905ce,2/06/2022,Server,Jack Anderson,henry.moore@unimelb.edu.au,6300,Physio,26/01/2024,19/10/2024,N,3605.82
UOM000165,Ls-64163,JU34384rz,2/03/2021,Desktop,Grace Wilson,ivy.taylor@unimelb.edu.au,1354,Social Work,25/08/2022,7/09/2022,Y,1597.03
UOM000166,AI-23863,dD50484ri,29/05/2023,Server,Alice Johnson,alice.johnson@unimelb.edu.au,2417,DOVS,25/03/2024,28/10/2024,N,8125.11
UOM000167,Jd-81044,UD38880SX,4/09/2021,Monitor,Alice Johnson,david.brown@unimelb.edu.au,5741,SHS,17/04/2024,,N,561.62
UOM000168,aM-17414,AT97595vG,18/11/2022,Laptop,Bob Smith,henry.moore@unimelb.edu.au,6300,Physio,26/01/2025,25/04/2025,N,2781.33
UOM000169,QT-00483,eE20614Cb,26/03/2022,Tablet,Henry Moore,grace.wilson@unimelb.edu.au,8826,Nursing,24/10/2022,,N,1007.47
